StudyID;Title;Authors;Year;DOI;Journal;JIF of journal;Conflicts of interest;Antibiotics;FBS source;Glucose level;Type of untreated control;TMZ source reported?;Cell number;Cell volume;Cell concentration;Volume of added TMZ reported?;Volume of added control;Assay;Number of experiments;Errortype;Errortype reporting;U-87 MG authentication;U-87 MG source;U-87 MG age;Confluence at cell passaging;Time interval between cell passaging;Mycoplasma contamination exclusion;Treatment duration;TMZ concentration;Reporting ratio;Included in meta-analysis?;Mean cell viability;Error cell viability;Cell viability unit;Presented as growth inhibition?;Control?;Sample size calculation;Random group allocation;Blinded outcome assessment;Open-access pre-registered study protocol;Way of calculation for cell viability summary data;Unclear number of independent experiments and replications per experiment;Data presented for every experiment?;Missing data (for particular drug concentrations and/or treatment durations) within an experiment
01784eb2-1068-469a-99e9-530f57b43e7d;Growth-inhibitory and chemosensitizing effects of microRNA-31 in human glioblastoma multiforme cells;Zhou et al.;2015;10.3892/ijmm.2015.2312;INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE ;2,348;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;high glucose & pyruvate;not reported;NA;4000;NA;NA;NA;FALSE;MTT, colorimetric;not reported;SD;reported;FALSE;ATCC;;NA;NA;FALSE;3;0;0,4375;FALSE;99,7;3,2;MTT assay (% of control);FALSE;TRUE;not reported;not reported;not reported;not available;calculation intransparent;number unclear;no data missing;no data points missing
01784eb2-1068-469a-99e9-530f57b43e7d;Growth-inhibitory and chemosensitizing effects of microRNA-31 in human glioblastoma multiforme cells;Zhou et al.;2015;10.3892/ijmm.2015.2312;INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE ;2,348;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;high glucose & pyruvate;;FALSE;4000;NA;NA;FALSE;NA;MTT, colorimetric;not reported;SD;reported;FALSE;ATCC;;NA;NA;FALSE;3;100;0,4375;FALSE;79,5;6,5;MTT assay (% of control);FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number unclear;no data missing;no data points missing
0758b223-36e9-49bb-b7f3-128c15808a1b;Mechanisms operative in the antitumor activity of temozolomide in glioblastoma multiforme;Fischer et al.;2007;10.1097/PPO.0b013e318157053f;Cancer Journal;1,673;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;not reported;NA;1000;NA;NA;NA;FALSE;MTT, colorimetric;not reported;SD;not reported;FALSE;colleagues;;NA;NA;FALSE;8;0;0,375;FALSE;100;4,7;Cell viability;FALSE;TRUE;not reported;not reported;not reported;not available;calculation intransparent;number unclear;no data missing;no data points missing
0758b223-36e9-49bb-b7f3-128c15808a1b;Mechanisms operative in the antitumor activity of temozolomide in glioblastoma multiforme;Fischer et al.;2007;10.1097/PPO.0b013e318157053f;Cancer Journal;1,673;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;1000;NA;NA;FALSE;NA;MTT, colorimetric;not reported;SD;not reported;FALSE;colleagues;;NA;NA;FALSE;8;20;0,375;FALSE;54,7;12,4;Cell viability;FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number unclear;no data missing;no data points missing
0758b223-36e9-49bb-b7f3-128c15808a1b;Mechanisms operative in the antitumor activity of temozolomide in glioblastoma multiforme;Fischer et al.;2007;10.1097/PPO.0b013e318157053f;Cancer Journal;1,673;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;1000;NA;NA;FALSE;NA;MTT, colorimetric;not reported;SD;not reported;FALSE;colleagues;;NA;NA;FALSE;8;200;0,375;FALSE;29,4;10,3;Cell viability;FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number unclear;no data missing;no data points missing
0758b223-36e9-49bb-b7f3-128c15808a1b;Mechanisms operative in the antitumor activity of temozolomide in glioblastoma multiforme;Fischer et al.;2007;10.1097/PPO.0b013e318157053f;Cancer Journal;1,673;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;1000;NA;NA;FALSE;NA;MTT, colorimetric;not reported;SD;not reported;FALSE;colleagues;;NA;NA;FALSE;8;5;0,375;FALSE;92,8;10,3;Cell viability;FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number unclear;no data missing;no data points missing
0758b223-36e9-49bb-b7f3-128c15808a1b;Mechanisms operative in the antitumor activity of temozolomide in glioblastoma multiforme;Fischer et al.;2007;10.1097/PPO.0b013e318157053f;Cancer Journal;1,673;not reported at all;Penicillin + Streptomycin;Thermo Fischer Scientific, US;not reported;;TRUE;1000;NA;NA;FALSE;NA;MTT, colorimetric;not reported;SD;not reported;FALSE;colleagues;;NA;NA;FALSE;8;50;0,375;FALSE;42,3;4,7;Cell viability;FALSE;FALSE;not reported;not reported;not reported;not available;calculation intransparent;number unclear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;not reported;NA;10000;NA;NA;NA;FALSE;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;0;0,5;TRUE;100;0;Cell content (% of control);FALSE;TRUE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;not reported;NA;10000;NA;NA;NA;FALSE;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;0;0,5;TRUE;100;0;Cell content (% of control);FALSE;TRUE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
07639453-4cdd-4a54-add6-4a7d382fc5dc;In vitro novel combinations of psychotropics and anti-cancer modalities in U87 human glioblastoma cells;Tzadok et al.;2010;10.3892/ijo-00000756;INTERNATIONAL JOURNAL OF ONCOLOGY;2,571;not reported at all;Penicillin + Streptomycin;Other source;high glucose & pyruvate;not reported;NA;10000;NA;NA;NA;FALSE;Sulforhodamine B (SRB), colorimetric;3;SEM;reported;FALSE;colleagues;;NA;NA;FALSE;7;0;0,5;TRUE;100;0;Cell content (% of control);FALSE;TRUE;not reported;not reported;not reported;not available;calculation intransparent;number clear;no data missing;no data points missing
