StudyID,Annotator,Independent experiments clear,Reconciled
01c35aeb-f00a-4369-b0bc-9ab61d7f6452,Emma,FALSE,TRUE
057046ea-e218-45cb-a35a-3decc91b15ec,Emma,FALSE,TRUE
1932ead6-8f56-43b1-8d16-2c1270ec1f2e,Emma,TRUE,TRUE
1a5ffe14-2588-42eb-81f6-b1a4eb9eaab7,Emma,TRUE,TRUE
21210901-0644-4180-bc51-b3c203a7f30b,Emma,FALSE,FALSE
23b4e656-ae2c-45b1-a8c7-39a98f5641a9,Emma,FALSE,TRUE
29be3aa3-85d2-45f6-8cc5-33524c4806b2,Emma,,FALSE
2a7ffb19-156c-4886-9824-782bb6ec9083,Emma,TRUE,TRUE
3deafa34-2e94-4886-ad77-3d4dcd184ebf,Emma,,FALSE
44debb78-93d5-4c64-9e2a-8d7205c2b740,Emma,TRUE,TRUE
54f14ed5-8dec-47e7-ba05-731064209336,Emma,TRUE,TRUE
6aad6b36-03be-483e-997a-195f37e12ba6,Emma,TRUE,TRUE
6e252884-a3d1-4b98-82fd-e75b58b8bfd7,Emma,,TRUE
727af27b-7e97-4231-8990-d5c66c2716bd,Emma,,FALSE
74149196-6f57-457c-9ad0-38d8e50504b6,Emma,,TRUE
8109c2d8-887f-443f-aa5f-2662efbde49b,Emma,,TRUE
85d22acb-4f69-4c31-9467-54ae3746388c,Emma,,FALSE
8bbf5c55-79b8-442f-ac26-9017b03552d8,Emma,,FALSE
972aa89d-1765-4999-b686-68107b6b36ee,Emma,,FALSE
98427cd0-1ead-4dbe-98fc-50f7be3f76c3,Emma,,FALSE
a1acbb60-cabb-46ba-b849-0257df1533a5,Emma,FALSE,FALSE
a9cced18-b11d-4dc7-90a5-4186440479e0,Emma,,FALSE
afb51732-b5b4-4a0d-95ff-a22836cacc5b,Emma,,FALSE
bcc38976-1383-45a0-b0ce-ce5ffd96812b,Emma,,FALSE
bcf7acb7-6422-445d-9690-270344b456fe,Emma,TRUE,TRUE
be089bd7-9b71-4425-a8ee-f019896999d9,Emma,TRUE,TRUE
c448ca29-4ed8-45f7-872d-2dde10f245d3,Emma,,FALSE
c716aeff-6d94-46f6-ba16-04b109000936,Emma,FALSE,TRUE
c9d3d38b-883c-4926-813a-45333b573f71,Emma,,FALSE
cad814c6-59d0-4aee-964b-402b510b2b08,Emma,,FALSE
cca1ed1d-e9e8-44b7-accd-4231658363b1,Emma,TRUE,TRUE
d046fea2-07c8-4970-b3c6-50118ef891f4,Emma,FALSE,FALSE
d5c7f846-d04a-42e0-af7c-b65f7bcb4cce,Emma,,FALSE
d60c33b7-5641-4cd9-a5ff-0a72ac41f4ab,Emma,,FALSE
d643df11-d366-487d-a3cc-332631ff13f4,Emma,,FALSE
d8231c09-2b12-4917-8f00-3203f08f8c0b,Emma,,FALSE
eb84584e-d8b8-4680-8a6c-d2428b2377a7,Emma,,FALSE
f3052da8-0d73-4368-a275-bdeb53adb956,Emma,,FALSE
f70a412a-f5c2-4b0f-93c1-355530a1d447,Emma,TRUE,TRUE
fa4b6854-fa9f-4164-baca-3311fd4a21e4,Emma,,TRUE
4a5de13a-a78e-4f61-ad28-59d4e30680c0,Emma,,FALSE
