StudyID,Reporting Study Parameters after 2020,Prevalence Risks of Bias after 2020,Search
01c35aeb-f00a-4369-b0bc-9ab61d7f6452,0.5,0.625,new
057046ea-e218-45cb-a35a-3decc91b15ec,0.444444444444444,0.625,new
1932ead6-8f56-43b1-8d16-2c1270ec1f2e,0.611111111111111,0.75,new
1a5ffe14-2588-42eb-81f6-b1a4eb9eaab7,0.722222222222222,0.625,new
21210901-0644-4180-bc51-b3c203a7f30b,0.388888888888889,0.625,new
23b4e656-ae2c-45b1-a8c7-39a98f5641a9,0.444444444444444,0.75,new
29be3aa3-85d2-45f6-8cc5-33524c4806b2,0.5,0.625,new
2a7ffb19-156c-4886-9824-782bb6ec9083,0.555555555555556,0.625,new
3deafa34-2e94-4886-ad77-3d4dcd184ebf,0.5,0.625,new
44debb78-93d5-4c64-9e2a-8d7205c2b740,0.444444444444444,0.75,new
54f14ed5-8dec-47e7-ba05-731064209336,0.5,0.625,new
6aad6b36-03be-483e-997a-195f37e12ba6,0.555555555555556,0.625,new
6e252884-a3d1-4b98-82fd-e75b58b8bfd7,0.555555555555556,0.75,new
727af27b-7e97-4231-8990-d5c66c2716bd,0.611111111111111,0.625,new
74149196-6f57-457c-9ad0-38d8e50504b6,0.555555555555556,0.625,new
8109c2d8-887f-443f-aa5f-2662efbde49b,0.444444444444444,0.625,new
85d22acb-4f69-4c31-9467-54ae3746388c,0.555555555555556,0.625,new
8bbf5c55-79b8-442f-ac26-9017b03552d8,0.611111111111111,0.625,new
972aa89d-1765-4999-b686-68107b6b36ee,0.5,0.625,new
98427cd0-1ead-4dbe-98fc-50f7be3f76c3,0.666666666666667,0.75,new
a1acbb60-cabb-46ba-b849-0257df1533a5,0.5,0.625,new
a9cced18-b11d-4dc7-90a5-4186440479e0,0.388888888888889,0.625,new
afb51732-b5b4-4a0d-95ff-a22836cacc5b,0.444444444444444,0.625,new
bcc38976-1383-45a0-b0ce-ce5ffd96812b,0.555555555555556,0.625,new
bcf7acb7-6422-445d-9690-270344b456fe,0.388888888888889,0.625,new
be089bd7-9b71-4425-a8ee-f019896999d9,0.444444444444444,0.625,new
c448ca29-4ed8-45f7-872d-2dde10f245d3,0.444444444444444,0.75,new
c716aeff-6d94-46f6-ba16-04b109000936,0.5,0.625,new
c9d3d38b-883c-4926-813a-45333b573f71,0.333333333333333,0.625,new
cad814c6-59d0-4aee-964b-402b510b2b08,0.444444444444444,0.625,new
cca1ed1d-e9e8-44b7-accd-4231658363b1,0.388888888888889,0.75,new
d046fea2-07c8-4970-b3c6-50118ef891f4,0.5,0.625,new
d5c7f846-d04a-42e0-af7c-b65f7bcb4cce,0.722222222222222,0.75,new
d60c33b7-5641-4cd9-a5ff-0a72ac41f4ab,0.333333333333333,0.625,new
d643df11-d366-487d-a3cc-332631ff13f4,0.444444444444444,0.625,new
d8231c09-2b12-4917-8f00-3203f08f8c0b,0.333333333333333,0.75,new
