joined_StudyID_Control,Control,What is the type of control treatment?,What other control did they use?,Is the volume of the added control-suspension reported?,Is the volume of the control-suspension matched to the TMZ-suspension?,StudyIdStr
01784eb2-1068-469a-99e9-530f57b43e7d TRUE,TRUE,not reported,,FALSE,NA,01784eb2-1068-469a-99e9-530f57b43e7d
0758b223-36e9-49bb-b7f3-128c15808a1b TRUE,TRUE,not reported,,FALSE,NA,0758b223-36e9-49bb-b7f3-128c15808a1b
07639453-4cdd-4a54-add6-4a7d382fc5dc TRUE,TRUE,not reported,,FALSE,NA,07639453-4cdd-4a54-add6-4a7d382fc5dc
086dce0d-1142-4bf2-bd43-9533e23bfb18 TRUE,TRUE,not reported,,FALSE,NA,086dce0d-1142-4bf2-bd43-9533e23bfb18
0a8024aa-6d58-43b2-96ea-61543cae0549 TRUE,TRUE,not reported,,FALSE,NA,0a8024aa-6d58-43b2-96ea-61543cae0549
0bcb0299-c385-4142-93f6-6ee7d5767ee6 TRUE,TRUE,other,medium only,FALSE,NA,0bcb0299-c385-4142-93f6-6ee7d5767ee6
0bf1cda2-d9a8-491b-9086-af32efd2810a TRUE,TRUE,DMSO,,FALSE,NA,0bf1cda2-d9a8-491b-9086-af32efd2810a
1ef05e18-9607-4927-9137-69fd633b2773 TRUE,TRUE,not reported,NA,FALSE,NA,1ef05e18-9607-4927-9137-69fd633b2773
1ff23659-a3b2-41fd-80ea-4116183d0f15 TRUE,TRUE,not reported,,FALSE,NA,1ff23659-a3b2-41fd-80ea-4116183d0f15
22d86549-4c32-417f-b3a6-4af9ba1dcb23 TRUE,TRUE,not reported,,FALSE,NA,22d86549-4c32-417f-b3a6-4af9ba1dcb23
29c27c2f-6689-4843-9d70-45705f4d8a55 TRUE,TRUE,not reported,,FALSE,NA,29c27c2f-6689-4843-9d70-45705f4d8a55
2dd2d18e-08e0-4d30-9a82-9d28043244c8 TRUE,TRUE,DMSO,,FALSE,NA,2dd2d18e-08e0-4d30-9a82-9d28043244c8
328a9e48-df61-4a25-bff9-ed2c9cb6edb8 TRUE,TRUE,other,pure medium,TRUE,TRUE,328a9e48-df61-4a25-bff9-ed2c9cb6edb8
35c0a928-2ad6-4912-919e-46eab215fafb TRUE,TRUE,other,medium only,FALSE,NA,35c0a928-2ad6-4912-919e-46eab215fafb
35e10def-f7d7-4c8c-a02b-922b44510337 TRUE,TRUE,not reported,,FALSE,NA,35e10def-f7d7-4c8c-a02b-922b44510337
36e240d7-a03b-4879-afc8-a484f9e8ba4e TRUE,TRUE,not reported,,FALSE,NA,36e240d7-a03b-4879-afc8-a484f9e8ba4e
3791e67c-f846-43b9-be72-6f3711359c63 TRUE,TRUE,not reported,,FALSE,NA,3791e67c-f846-43b9-be72-6f3711359c63
399b4c31-88e5-4430-8324-090dc87864db TRUE,TRUE,other,media only,FALSE,NA,399b4c31-88e5-4430-8324-090dc87864db
3b27a4cf-4334-48f3-a0ff-0368092c00ec TRUE,TRUE,not reported,,FALSE,NA,3b27a4cf-4334-48f3-a0ff-0368092c00ec
3c41250d-a6ef-47cd-bdce-1323921aa009 TRUE,TRUE,not reported,,FALSE,NA,3c41250d-a6ef-47cd-bdce-1323921aa009
3dbdbe41-d0eb-48c1-b17f-220b052d1937 TRUE,TRUE,not reported,,FALSE,NA,3dbdbe41-d0eb-48c1-b17f-220b052d1937
3eedd5d4-fa1a-4ae8-ad65-8cab83302689 TRUE,TRUE,DMSO,NA,FALSE,NA,3eedd5d4-fa1a-4ae8-ad65-8cab83302689
41561b20-5972-4095-aa53-32465f12d018 TRUE,TRUE,not reported,,FALSE,NA,41561b20-5972-4095-aa53-32465f12d018
427b652e-42e6-436e-bbd4-387c914bca80 TRUE,TRUE,not reported,,FALSE,NA,427b652e-42e6-436e-bbd4-387c914bca80
4460c6e8-45ac-4cf5-9d06-ebbdaafb7912 TRUE,TRUE,not reported,,FALSE,NA,4460c6e8-45ac-4cf5-9d06-ebbdaafb7912
48a8b193-0684-4a6b-b3bc-47f74d80bd32 TRUE,TRUE,not reported,,FALSE,NA,48a8b193-0684-4a6b-b3bc-47f74d80bd32
4b98515f-057a-4d17-af4a-527e9b58ec36 TRUE,TRUE,not reported,,FALSE,NA,4b98515f-057a-4d17-af4a-527e9b58ec36
4f7e8b69-fe49-476a-bf2c-b8e84d4229ba TRUE,TRUE,not reported,,FALSE,NA,4f7e8b69-fe49-476a-bf2c-b8e84d4229ba
4f9f553b-8395-4825-9e9f-78142dcb0869 TRUE,TRUE,media & PBS,,FALSE,NA,4f9f553b-8395-4825-9e9f-78142dcb0869
51aab400-324d-4dc8-b234-6fcd1ad1d33b TRUE,TRUE,not reported,,FALSE,NA,51aab400-324d-4dc8-b234-6fcd1ad1d33b
545a7bc3-c653-410d-883e-f33e1f323ac0 TRUE,TRUE,DMSO,,FALSE,NA,545a7bc3-c653-410d-883e-f33e1f323ac0
55cfea10-a7ad-4ac9-bf31-dccab2c65826 TRUE,TRUE,not reported,,FALSE,NA,55cfea10-a7ad-4ac9-bf31-dccab2c65826
5925c028-4c05-4622-bb34-12e135d25823 TRUE,TRUE,DMSO,,TRUE,TRUE,5925c028-4c05-4622-bb34-12e135d25823
5aa91e77-7ec3-40da-9680-37ce98a0ebbf TRUE,TRUE,not reported,,FALSE,NA,5aa91e77-7ec3-40da-9680-37ce98a0ebbf
5c654622-5140-4889-b524-c32a4a82c156 TRUE,TRUE,not reported,,FALSE,NA,5c654622-5140-4889-b524-c32a4a82c156
5ebff77b-4b7f-4c6e-a87c-f639a8e2386b TRUE,TRUE,not reported,,FALSE,NA,5ebff77b-4b7f-4c6e-a87c-f639a8e2386b
62452ec0-afbf-4afd-b275-20070bbf2e65 TRUE,TRUE,not reported,,FALSE,NA,62452ec0-afbf-4afd-b275-20070bbf2e65
627d5a8d-c882-4fd4-aabd-79b753123d56 TRUE,TRUE,not reported,,FALSE,NA,627d5a8d-c882-4fd4-aabd-79b753123d56
62f09eb5-98ed-4e5c-9229-8f53ab00d321 TRUE,TRUE,DMSO,,FALSE,NA,62f09eb5-98ed-4e5c-9229-8f53ab00d321
64a785ad-4714-4ec6-b731-4d66128602f7 TRUE,TRUE,not reported,,FALSE,NA,64a785ad-4714-4ec6-b731-4d66128602f7
65125fda-7b0f-44e5-8f71-2505146d4f2e TRUE,TRUE,DMSO,,FALSE,NA,65125fda-7b0f-44e5-8f71-2505146d4f2e
65b98083-98fc-469f-bd94-4a2074894498 TRUE,TRUE,DMSO,,FALSE,NA,65b98083-98fc-469f-bd94-4a2074894498
65e0c64b-fd79-4f96-b170-ef785d6aa038 TRUE,TRUE,DMSO,,FALSE,NA,65e0c64b-fd79-4f96-b170-ef785d6aa038
6609317e-1707-409d-a88f-9f7101cdbc4b TRUE,TRUE,not reported,,FALSE,NA,6609317e-1707-409d-a88f-9f7101cdbc4b
66cb1b02-278c-447d-a677-1ec012401dac TRUE,TRUE,not reported,,FALSE,NA,66cb1b02-278c-447d-a677-1ec012401dac
