PublicationNumber,Title,Year,Abstract,Journal,Authors,PMID,DOI,Comments,Question,Answer
0128a0c2-fce2-439a-a7fa-eec5370f922f,Silencing SATB1 overcomes temozolomide resistance by downregulating MGMT expression and upregulating SLC22A18 expression in human glioblastoma cells,2018,Glioblastoma multiforme (GBM) is the most common malignant tumor of the central nervous system and has a very poor prognosis. Currently patients were treated by resection followed by radiotherapy plus concurrent temozolomide (TMZ) chemotherapy. However many patients are resistant to TMZ-induced DNA damage because of upregulated expression of the DNA repair enzyme O-6 -methylguanine-DNA methyltransferase (MGMT). In this study upregulation of SATB1 and MGMT and downregulation of SLC22A18 resulted in acquisition of TMZ resistance in GBM U87 cells. Inactivation of special AT-rich sequence-binding protein 1 (SATB1) using short hairpin RNA (shRNA) downregulated MGMT expression and upregulated solute carrier family 22 member 18 (SLC22A18) expression in GBM cells. This suggested SATB1-mediated posttranscriptional regulation of the MGMT and SLC22A18 protein levels. Immunohistochemical analysis of malignant glioma specimens demonstrated a significant positive correlation between the levels of MGMT and SATB1 and a negative correlation between the levels of SLC22A18 and SATB1. Importantly in recurrent compared with the primary lesions in 15 paired identical tumors the SATB1 and MGMT protein levels were increased and the SLC22A18 levels were decreased. Finally in TMZ-resistant GBM SATB1 knockdown enhanced TMZ efficacy. Consequently SATB1 inhibition might be a promising strategy combined with TMZ chemotherapy to treat TMZ-resistant GBM.,,Sheng-Hua ,,10.1038/s41417-018-0040-3,,Is this publication relevent to this project?,
048e1a11-033d-42ae-9dd8-ace6676979b7,Fever-Range Hyperthermia vs. Hypothermia Effect on Cancer Cell Viability Proliferation and HSP90 Expression,2015,Purpose The current study examines the effect of fever-range hyperthermia and mild hypothermia on human cancer cells focusing on cell viability proliferation and HSP90 expression. Materials and Methods A549 and H1299 lung carcinoma MCF7 breast adenocarcinoma U87MG and T98G glioblastoma DU145 and PC3 prostate carcinoma and MRC5 normal fetal lung fibroblasts cell lines were studied. After 3-day exposure to 34 degrees C 37 degrees C and 40 degrees C cell viability was determined. Cell proliferation (ki67 index) apoptosis (Caspase 9) and HSP90 expression was studied by confocal microscopy. Results Viability/proliferation experiments demonstrated that MRC5 fibroblasts were extremely sensitive to hyperthermia while they were the most resistant to hypothermia. T98G and A549 were thermo-tolerant the remaining being thermo-sensitive to a varying degree. Nonetheless as a universal effect hypothermia reduced viability/proliferation in all cell lines. Hyperthermia sharply induced Caspase 9 in the U87MG most thermo-sensitive cell line. In T98G and A549 thermo-tolerant cell lines the levels of Caspase 9 declined. Moreover hyperthermia strongly induced the HSP90 levels in T98G whilst a sharp decrease was recorded in the thermo-sensitive PC3 and U87MG cell lines. Hyperthermia sensitized thermo-sensitive cancer cell lines to cisplatin and temozolomide whilst its sensitizing effect was diminished in thermo-tolerant cell lines. Conclusions The existence of thermo-tolerant and thermo-sensitive cancer cell lines was confirmed which further encourages research to classify human tumor thermic predilection for patient stratification in clinical trials. Of interest mild hypothermia had a universal suppressing effect on cancer cell proliferation further supporting the radio-sensitization hypothesis through reduction of oxygen and metabolic demands.,,I ,,10.1371/journal.pone.0116021,,Is this publication relevent to this project?,
07c00b6a-d780-4048-9fc7-e989e7de8bdc,MicroRNA-21 silencing enhances the cytotoxic effect of the antiangiogenic drug sunitinib in glioblastoma,2013,Highly malignant glioblastoma (GBM) is characterized by high genetic heterogeneity and infiltrative brain invasion patterns and aberrant miRNA expression has been associated with hallmark malignant properties of GBM. The lack of effective GBM treatment options prompted us to investigate whether miRNAs would constitute promising therapeutic targets toward the generation of a gene therapy approach with clinical significance for this disease. Here we show that microRNA-21 (miR-21) is upregulated and microRNA-128 (miR-128) is downregulated in mouse and human GBM samples a finding that is corroborated by analysis of a large set of human GBM data from The Cancer Genome Atlas. Moreover we demonstrate that oligonucleotide-mediated miR-21 silencing in U87 human GBM cells resulted in increased levels of the tumor suppressors PTEN and PDCD4 caspase 3/7 activation and decreased tumor cell proliferation. Cell exposure to pifithrin an inhibitor of p53 transcriptional activity reduced the caspase activity associated with decreased miR-21 expression. Finally we demonstrate for the first time that miR-21 silencing enhances the antitumoral effect of the tyrosine kinase inhibitor sunitinib whereas no therapeutic benefit is observed when coupling miR-21 silencing with the first-line drug temozolomide. Overall our results provide evidence that miR-21 is uniformly overexpressed in GBM and constitutes a highly promising target for multimodal therapeutic approaches toward GBM.,,C ,,10.1093/hmg/dds496,,Is this publication relevent to this project?,
0871afe8-8d0e-445d-acfd-73929f5626b2,The effect of silibinin in enhancing toxicity of temozolomide and etoposide in p53 and PTEN-mutated resistant glioma cell lines,2015,Glioblastoma multiforme (GBM) is an intractable brain tumor associated with poor prognosis and low survival rate. Combination therapy such as surgery radiotherapy and temozolomide is considered standard in overcoming this aggressive cancer despite poor prognosis. There is a need to identify potential agents which may augment the chemo-therapeutic effects of standard drugs such as temozolomide. In this project we evaluated the effects of silibinin a natural plant component of milk thistle seeds to potentiate toxic effects of chemotherapy drugs such as temozolomide etoposide and irinotecan on LN229 U87 and A172 (P53 and phosphatase and tensin homolog (PTEN)-tumor suppressormutated) glioma cell lines. Data from this work suggest that silibinin was effective in potentiating the cytotoxic efficacy of temozolomide in LN229 U87 and A172 cells. While silibinin reduced survivin protein expression only in LN229 cells its ability to potentiate cytotoxicity of chemo therapy drugs occurred irrespective of survivin protein levels. The data also demonstrated that silibinin potentiated the effect of etoposide and but not irinotecan in LN229 cells. Future research will be required to evaluate the in vivo efficacy of silibinin to delineate its mechanism of action and its ability to cross the blood-brain barrier.,,A ,,NA,,Is this publication relevent to this project?,
0d8c4c21-13c3-49dd-aad0-fe8ff6b014cc,Mitochondria Transcription Factor A: A Putative Target for the Effect of Melatonin on U87MG Malignant Glioma Cell Line,2018,The disruption of mitochondrial activity has been associated with cancer development because it contributes to regulating apoptosis and is the main source of reactive oxygen species (ROS) production. Mitochondrial transcription factor A (TFAM) is a protein that maintains mitochondrial DNA (mtDNA) integrity and alterations in its expression are associated with mitochondrial damage and cancer development. In addition studies have shown that mitochondria are a known target of melatonin the pineal gland hormone that plays an important anti-tumorigenic role. Thus we hypothesized that melatonin decreases the expression of TFAM (RNA and protein) in the human glioblastoma cell line U87MG which disrupts mtDNA expression and results in cell death due to increased ROS production and mitochondrial damage. Our results confirm the hypothesis and also show that melatonin reduced the expression of other mitochondrial transcription factors mRNA (TFB1M and TFB2M) and interfered with mtDNA transcription. Moreover melatonin delayed cell cycle progression and potentiated the reduction of cell survival due to treatment with the chemotherapeutic agent temozolomide. In conclusion elucidating the effect of melatonin on TFAM expression should help to understand the signaling pathways involved in glioblastoma progression and melatonin could be potentially applied in the treatment of this type of brain tumor.,,N ,,10.3390/molecules23051129,,Is this publication relevent to this project?,
114951b1-63ff-447c-bbe4-d292bcba7e3f,Down-Regulation of AQP4 Expression via p38 MAPK Signaling in Temozolomide-Induced Glioma Cells Growth Inhibition and Invasion Impairment,2017,Glioma is the most common and lethal central nervous system tumors. Temozolomide (TMZ) is an effective drug for malignant glioma however the intracellular and molecular mechanisms behind this anti-cancer effect have yet to be fully understood. The aim of the present study was to determine whether TMZ inhibits proliferation invasion of glioma cells in vitro and whether these effects can be mediated through modulation of aquaporin 4 (AQP4) and phosphorylation of the MAPK pathway. The viability of U87 and U251 human glioma cells was evaluated using MTT assay. The cell cycle distribution was detected with flow cytometry. Migration ability and invasion ability were tested by scratch assays and transwell assays respectively. The levels of AQP4 and MAPK were measured using immunoblot analyses. Our results showed that TMZ inhibited proliferation migration and invasion and induced G2/M arrest in U87 and U251 glioma cell lines. These changes were associated with a decrease in the levels of AQP4 expression as well as activation phosphorylated level of p38. Treatment with a p38 chemical activator (anisomycin) resulted in similar effects as TMZ treatment on glioma cells. And p38 chemical inhibitor (SB203580) could block these effects in glioma treated with TMZ suggesting a direct up-regulation of the p38 signaling pathway. Therefore we identified that TMZ might have therapeutic potential for controlling proliferation invasion of malignant glioma by inhibiting AQP4 expression through activation of p38 signal transduction pathway. J. Cell. Biochem. 118: 4905-4913 2017. (c) 2017 Wiley Periodicals Inc.,,Mei ,,10.1002/jcb.26176,,Is this publication relevent to this project?,
116f3a42-5aef-4ae5-96ef-62f8d11f7e55,Inhibition of EZH2 reverses chemotherapeutic drug TMZ chemosensitivity in glioblastoma,2014,Glioblastoma remains among the most devastating cancers with a median survival of less than 15 months and virtually no survival beyond five years. Currently the treatment of glioma includes surgery radiation therapy chemotherapy and comprehensive treatment. Intrinsic or acquired resistance to TMZ is one of the greatest obstacles in successful GB treatment and is thought to be influenced by a variety of mechanisms. The EZH2 gene which is expressed in various solid tumors can regulate gene transcription and promote the generation and progression of tumors. Our aim was to investigate the relationship between EZH2 and multidrug-resistance of human glioblastoma cells. In this study we established TMZ-resistant U251 and U87 clones (U251/TMZ and U87/TMZ cells) which expressed high level of EZH2. Using RNA interference we demonstrated that the downregulation of Ezh2 expression in U251/TMZ and U87/TMZ cells resulted in apoptosis and a cell cycle arrest in the G1/S phase. Furthermore the reduced expression of Ezh2 altered the MDR MRP and BCRP mRNA and protein levels. These findings suggest that EZH2 plays an important part in the development of multidrug resistance and may represent a novel therapeutic target for multidrug-resistant glioblastoma.,,T ,,NA,,Is this publication relevent to this project?,
11e8bff3-47cf-4251-8d23-d92e4ea72620,Combined effect of 2-5A-linked antisense against telomerase RNA and conventional therapies on human malignant glioma cells in vitro and in vivo,2007,We recently showed that therapy with 2'-5'-oligoadenylate (2-5A)-linked antisense against human telomerase RNA component (2-5A-anti-hTR) is a novel telomerase-targeting strategy against malignant gliomas. In this study we investigated conventional chemotherapeutic agents and gamma-irradiation (IR) to determine whether they could augment the efficacy of 2-5A-anti-hTR against these tumors in vitro and in vivo. Treatment with 2-5A-anti-hTR inhibited the viability of U373-MG and U87-MG malignant glioma cells in a dose-dependent manner; the antitumor effect resulted from induction of apoptosis. Also telomerase-positive astrocytes with oncogenic Ras were more sensitive to 2-5A-anti-hTR than were those without oncogenic Ras. In addition we sought to determine the combined effect of 2-5A-anti-hTR with N N'-bis (2-chloroethyl)-N-nitrosourea (BCNU) cisplatin (CDDP) paclitaxel (PTX) temozolomide (TMZ) or IR. When we administered the combination treatments on the same day PTX and IR showed a greater combined effect with 2-5A-anti-hTR on both tumor cell lines than did BCNU CDDP and TMZ. However all of the combination regimens were synergistic when we first treated tumor cells with 2-5A-anti-hTR for 24 h and then exposed them to the conventional treatments. Apoptosis-inducing agents (CDDP and PTX) but not autophagy-inducing therapies (TMZ and IR) enhanced the incidence of apoptosis caused by 2-5A-anti-hTR. Lastly we observed a combinatorial effect of 2-5A-anti-hTR and TMZ in vivo in subcutaneous U87-MG tumors in nude mice. Interestingly treatment with TMZ increased the incidence of apoptosis in subcutaneous tumor cells treated with 2-5A-anti-hTR. These results suggest that 2-5A-anti-hTR is preferable in combination with established cancer therapies.,,S ,,NA,,Is this publication relevent to this project?,
120b32f9-25ae-494f-b94d-c4aaf9b75ee8,TAZ promotes temozolomide resistance by upregulating MCL-1 in human glioma cells,2015,Temozolomide is a novel cytotoxic agent currently used as first-line chemotherapy for glioblastoma multiforme (GBM). However intrinsic or acquired chemoresistance to temozolomide remains the greatest obstacle to the successful treatment of human GBM. The principal mechanism responsible for this resistance is largely unknown. In the present study we showed that expression of transcriptional co-activator with PDZ-binding motif (TAZ) in glioma cells correlated with temozolomide chemoresistance in human glioma cells. Overexpression of TAZ promoted temozolomide resistance in U-87MG cells whereas knockdown of TAZ expression sensitized temozolomide-resistant U-251MG cells to temozolomide. Further TAZ inhibits temozolomide induced apoptosis via upregulation of MCL-1 (myeloid cell leukemia 1) and high expression of TAZ predicts a poor prognosis for GBM patients. In conclusion our results suggest that TAZ had a critical role in the resistance to temozolomide in glioma cells and it may provide a promising target for improving the therapeutic outcome of temozolomide-resistant gliomas.,,Zhaoming ,,10.1016/j.bbrc.2015.05.115,,Is this publication relevent to this project?,
125722bc-9306-4620-8c6c-b77e82b7801a,The DNA repair protein ALKBH2 mediates temozolomide resistance in human glioblastoma cells,2013,INTRODUCTION: Glioblastoma multiforme (GBM; World Health Organization astrocytoma grade IV) is the most frequent and most malignant primary brain tumor in adults. Despite multimodal therapy all such tumors practically recur during the course of therapy causing a median survival of only 14.6 months in patients with newly diagnosed GBM. The present study was aimed at examining the expression of the DNA repair protein AlkB homolog 2 (ALKBH2) in human GBM and determining whether it could promote resistance to temozolomide chemotherapy. METHODS: ALKBH2 expression in GBM cell lines and in human GBM was determined by quantitative real-time PCR (qRT-PCR) and gene expression analysis respectively. Drug sensitivity was assessed in GBM cells overexpressing ALKBH2 and in cells in which ALKBH2 expression was silenced by small-interfering (si)RNA. ALKBH2 expression following activation of the p53 pathway was examined by western blotting and qRT-PCR. RESULTS: ALKBH2 was abundantly expressed in established GBM cell lines and human GBM and temozolomide exposure increased cellular ALKBH2 expression levels. Overexpression of ALKBH2 in the U87 and U251 GBM cell lines enhanced resistance to the methylating agents temozolomide and methyl methanesulfonate but not to the nonmethylating agent doxorubicin. Conversely siRNA-mediated knockdown of ALKBH2 increased sensitivity of GBM cells to temozolomide and methyl methanesulfonate but not to doxorubicin or cisplatin. Nongenotoxic activation of the p53 pathway by the selective murine double minute 2 antagonist nutlin-3 caused a significant decrease in cellular ALKBH2 transcription levels. CONCLUSION: Our findings identify ALKBH2 as a novel mediator of temozolomide resistance in human GBM cells. Furthermore we place ALKBH2 into a new cellular context by showing its regulation by the p53 pathway.,,Rolf ,,10.1093/neuonc/nos301,,Is this publication relevent to this project?,
