AnnotatorIdStr,StudyIdStr,OutcomeIdStr,CohortIdStr,ExperimentIdStr,DateTimeCreated,Reconciled,GreaterIsWorse,Units,AverageType,NumberOfAnimals,ErrorType,Time,Average,Error,idStr,StageIdStr,ProjectIdStr,StudyId,StudyLabel,Why is the study not relevant?,How is the reporting of conflicts of interest?   ,Is this article relevant according to inclusion and exclusion criteria?,ExperimentLabel,Do they report the duration of the experiment with U87 cells exposed to tmz?,What other source for U87 cells did they have?,"If the age of the cell line is reported, hwo many cell passages where driven?",Was a cell line authentification of U87 cells performed?,Is a successfull mycoplasma contamination exclusion of the cell line reported?,Is the age of the cell line reported?,At which confluency level did they perform a cell passaging?,Experiment label?,Are at least three independent replications of the experiment reported?,How long did they run the experiment with U87 cells exposed to Temozolomide?,How long is is the time period until they performed a cell passaging?,From whom did they get the U87 cells?, How ist the reporting on cell passaging criteria?,CohortLabel,Cohort label?,Number of animals in cohort,OutcomeLabel,Outcome measure average type,Greater is worse.,Outcome measure units,Which other outcome measure method is used?,Outcome measure error type,Which cell growth/viability assay is used?,Outcome assessment procedure label?,ModelIdStr,ModelLabel,Did they use FCS/FBS medium for U87?,Wich other antibiotics did they use?,ModelControl,Which antibiotic did they used in the U87 cell line medium?,"If they used FCS/FBS, from which manufactur did they purchased it?",Disease model induction procedure label?,How is the glucose-level of the DMEM-medium for U87?,Which other source did they have for FCS/FBS?,InterventionIdStr,InterventionLabel,What is the volume of the added Temozolomide-Suspension?,What is the number of cells plated per well?,Is a defined volume or a range of volumes the cells plated in reported?,What other control did they use?,Is the volume of the added Temozolomide-suspension reported?,What is the range of numbers of cells plated per well?,Is the source of temozolomide reported?,What is the range of concentrations of cells plated?,What is the type of control treatment?,What is the volume the cells are plated in?,Treatment procedure label?,Is a defined number or a range of cells plated reported?,Is the volume of the control-suspension matched to the TMZ-suspension?,InterventionControl,Is the number / concentration / volume the U87 cells are plated reported?,What is the defined concentration of cells plated?,Is a defined concentration or a range of conc. of cells plated reported?,Is the volume of the added control-suspension reported?
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,01784eb2-1068-469a-99e9-530f57b43e7d,636bd911-2f7d-41df-9562-26a8e351cb4e,5a09f979-4b15-4fa0-8134-8d852fdc0dff,360ec015-6bae-494f-aa1e-1e7112bfdf34,2020-12-07 15:07:13,FALSE,TRUE,MTT assay (% of control),Mean,0,SD,3,79.5,6.5,2b701c39-bd4f-46e9-a5c3-2265868e90e2,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,01784eb2-1068-469a-99e9-530f57b43e7d,Root,,not reported at all,TRUE,e,TRUE,,,FALSE,FALSE,FALSE,,e,FALSE,3,,ATCC,not reported,tmz 100 uM,tmz 100 uM,0,cv,Mean,TRUE,MTT assay (% of control),,SD,"MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide; colorimetric assay)",cv,c71693f4-5bf7-4ef9-a58a-e62ec0e56d1f,GB,TRUE,,FALSE,Penicillin + Streptomycin,other source,GB,high glucose & pyruvate,"Invitrogen, Carlsbad, CA, USA",68346f04-6472-4b8a-b0eb-9ebef4e8c34d,tmz,,4000,,,FALSE,,FALSE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,01784eb2-1068-469a-99e9-530f57b43e7d,636bd911-2f7d-41df-9562-26a8e351cb4e,87539f71-5d70-404b-89f5-dda5d736e253,360ec015-6bae-494f-aa1e-1e7112bfdf34,2020-12-07 15:07:13,FALSE,TRUE,MTT assay (% of control),Mean,0,SD,3,99.7,3.2,a99676ef-36b6-42f7-aa48-e87340327c6a,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,01784eb2-1068-469a-99e9-530f57b43e7d,Root,,not reported at all,TRUE,e,TRUE,,,FALSE,FALSE,FALSE,,e,FALSE,3,,ATCC,not reported,control,control,0,cv,Mean,TRUE,MTT assay (% of control),,SD,"MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide; colorimetric assay)",cv,c71693f4-5bf7-4ef9-a58a-e62ec0e56d1f,GB,TRUE,,FALSE,Penicillin + Streptomycin,other source,GB,high glucose & pyruvate,"Invitrogen, Carlsbad, CA, USA",c66876ad-366e-48c8-baf7-ba1f2cb90d74,control,,4000,,,,,,,not reported,,control,defined number,,TRUE,number of cells plated is reported,,,FALSE
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,0758b223-36e9-49bb-b7f3-128c15808a1b,e58af8d6-ca3e-4e46-80d2-9e3261a6bed6,15cad197-3ceb-42d6-8bdb-074560c84377,3d8ddd28-c079-4950-addd-c6477afa0fe1,2020-11-20 10:11:17,FALSE,TRUE,Cell viability,Mean,0,SD,8,100,4.7,374bde67-8b64-4050-aaa9-bb062da911e1,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,0758b223-36e9-49bb-b7f3-128c15808a1b,Root,,not reported at all,TRUE,e,TRUE,"Dr. J. Ponten, University of Uppsala, Sweden",,FALSE,FALSE,FALSE,,e,FALSE,8 days after 3 hours treatment of GBM cell lines U251-MG and U87-MG,,other source,not reported,control,control,0,cv,Mean,TRUE,Cell viability,,SD,"MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide; colorimetric assay)",cv,00351a8b-7a30-48c9-86bc-7acec69493a6,GB,TRUE,,FALSE,Penicillin + Streptomycin,Gibco & Therma,GB,not reported,,629d36fe-25cd-4e47-bf2f-820e019e8fa6,control,,1000,,,,,,,not reported,,control,defined number,,TRUE,number of cells plated is reported,,,FALSE
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,0758b223-36e9-49bb-b7f3-128c15808a1b,e58af8d6-ca3e-4e46-80d2-9e3261a6bed6,659db941-6408-43b4-ad6c-82bf33707e30,3d8ddd28-c079-4950-addd-c6477afa0fe1,2020-11-20 10:11:17,FALSE,TRUE,Cell viability,Mean,0,SD,8,54.7,12.4,34f3589e-179e-4530-8eb8-4982db0c11dc,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,0758b223-36e9-49bb-b7f3-128c15808a1b,Root,,not reported at all,TRUE,e,TRUE,"Dr. J. Ponten, University of Uppsala, Sweden",,FALSE,FALSE,FALSE,,e,FALSE,8 days after 3 hours treatment of GBM cell lines U251-MG and U87-MG,,other source,not reported,tmz 20 uM,tmz 20 uM,0,cv,Mean,TRUE,Cell viability,,SD,"MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide; colorimetric assay)",cv,00351a8b-7a30-48c9-86bc-7acec69493a6,GB,TRUE,,FALSE,Penicillin + Streptomycin,Gibco & Therma,GB,not reported,,9cd32ebe-b0ce-485b-874f-a618d3687259,tmz,,1000,,,FALSE,,TRUE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,0758b223-36e9-49bb-b7f3-128c15808a1b,e58af8d6-ca3e-4e46-80d2-9e3261a6bed6,910b04fb-dd43-47ab-8700-5a4622204a5f,3d8ddd28-c079-4950-addd-c6477afa0fe1,2020-11-20 10:11:17,FALSE,TRUE,Cell viability,Mean,0,SD,8,92.8,10.3,6751aad0-d7aa-428d-9c15-7bbd7a1e1f88,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,0758b223-36e9-49bb-b7f3-128c15808a1b,Root,,not reported at all,TRUE,e,TRUE,"Dr. J. Ponten, University of Uppsala, Sweden",,FALSE,FALSE,FALSE,,e,FALSE,8 days after 3 hours treatment of GBM cell lines U251-MG and U87-MG,,other source,not reported,tmz 5 uM,tmz 5 uM,0,cv,Mean,TRUE,Cell viability,,SD,"MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide; colorimetric assay)",cv,00351a8b-7a30-48c9-86bc-7acec69493a6,GB,TRUE,,FALSE,Penicillin + Streptomycin,Gibco & Therma,GB,not reported,,9cd32ebe-b0ce-485b-874f-a618d3687259,tmz,,1000,,,FALSE,,TRUE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,0758b223-36e9-49bb-b7f3-128c15808a1b,e58af8d6-ca3e-4e46-80d2-9e3261a6bed6,b641936e-9e32-401a-a49a-4a5dd0afdd1d,3d8ddd28-c079-4950-addd-c6477afa0fe1,2020-11-20 10:11:17,FALSE,TRUE,Cell viability,Mean,0,SD,8,42.3,4.7,6e4a738f-4fe7-454f-b98d-9862dc6b12fe,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,0758b223-36e9-49bb-b7f3-128c15808a1b,Root,,not reported at all,TRUE,e,TRUE,"Dr. J. Ponten, University of Uppsala, Sweden",,FALSE,FALSE,FALSE,,e,FALSE,8 days after 3 hours treatment of GBM cell lines U251-MG and U87-MG,,other source,not reported,tmz 50 uM,tmz 50 uM,0,cv,Mean,TRUE,Cell viability,,SD,"MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide; colorimetric assay)",cv,00351a8b-7a30-48c9-86bc-7acec69493a6,GB,TRUE,,FALSE,Penicillin + Streptomycin,Gibco & Therma,GB,not reported,,9cd32ebe-b0ce-485b-874f-a618d3687259,tmz,,1000,,,FALSE,,TRUE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,0758b223-36e9-49bb-b7f3-128c15808a1b,e58af8d6-ca3e-4e46-80d2-9e3261a6bed6,ef5b3532-2fd8-4298-8c6b-23035758f48d,3d8ddd28-c079-4950-addd-c6477afa0fe1,2020-11-20 10:11:17,FALSE,TRUE,Cell viability,Mean,0,SD,8,29.4,10.3,92f16a83-effd-46fe-83d1-bdaf4f5a5891,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,0758b223-36e9-49bb-b7f3-128c15808a1b,Root,,not reported at all,TRUE,e,TRUE,"Dr. J. Ponten, University of Uppsala, Sweden",,FALSE,FALSE,FALSE,,e,FALSE,8 days after 3 hours treatment of GBM cell lines U251-MG and U87-MG,,other source,not reported,tmz 200 uM,tmz 200 uM,0,cv,Mean,TRUE,Cell viability,,SD,"MTT (3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide; colorimetric assay)",cv,00351a8b-7a30-48c9-86bc-7acec69493a6,GB,TRUE,,FALSE,Penicillin + Streptomycin,Gibco & Therma,GB,not reported,,9cd32ebe-b0ce-485b-874f-a618d3687259,tmz,,1000,,,FALSE,,TRUE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,07639453-4cdd-4a54-add6-4a7d382fc5dc,c3dde7a3-f5b3-4387-b19b-f403bd9e45d9,48655df0-7f17-463b-8ad6-5b16f39c8b77,2fdb90eb-475f-43e9-8f4d-b571ac1fb169,2021-01-28 09:14:03,FALSE,TRUE,Cell content (% of control),Mean,3,SEM,7,87.3,1,d07e471b-c706-41a7-8a88-a5aa51781d2e,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,07639453-4cdd-4a54-add6-4a7d382fc5dc,Root,,not reported at all,TRUE,e3 (fig 3b),TRUE,,,FALSE,FALSE,FALSE,,e3 (fig 3b),TRUE,7,,colleagues,not reported,tmz 5 uM,tmz 5 uM,3,cv,Mean,TRUE,Cell content (% of control),SRB assay,SEM,other,cv,a48ac002-59f5-4063-9bb4-80062179a9b4,GB,TRUE,,FALSE,Penicillin + Streptomycin,other source,GB,high glucose & pyruvate,"Biological Industries (Beit Haemek, Israel)",29a36192-c4a7-4674-a1e9-e8fbd57fc3e3,tmz,,10000,,,FALSE,,FALSE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,07639453-4cdd-4a54-add6-4a7d382fc5dc,c3dde7a3-f5b3-4387-b19b-f403bd9e45d9,48655df0-7f17-463b-8ad6-5b16f39c8b77,907c4a8d-6eae-44df-8ade-faa05858ebad,2021-01-28 09:14:03,FALSE,TRUE,Cell content (% of control),Mean,3,SEM,7,91.2,5.5,eff2b625-96a1-47f5-9976-d4b73c887e83,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,07639453-4cdd-4a54-add6-4a7d382fc5dc,Root,,not reported at all,TRUE,e (fig 1b),TRUE,,,FALSE,FALSE,FALSE,,e (fig 1b),TRUE,7,,colleagues,not reported,tmz 5 uM,tmz 5 uM,3,cv,Mean,TRUE,Cell content (% of control),SRB assay,SEM,other,cv,a48ac002-59f5-4063-9bb4-80062179a9b4,GB,TRUE,,FALSE,Penicillin + Streptomycin,other source,GB,high glucose & pyruvate,"Biological Industries (Beit Haemek, Israel)",29a36192-c4a7-4674-a1e9-e8fbd57fc3e3,tmz,,10000,,,FALSE,,FALSE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
857cd48e-9080-43f8-9a91-f6ea13e1ce0b,07639453-4cdd-4a54-add6-4a7d382fc5dc,c3dde7a3-f5b3-4387-b19b-f403bd9e45d9,48655df0-7f17-463b-8ad6-5b16f39c8b77,ea1780b3-b56e-4bd5-9d38-46b6578115e6,2021-01-28 09:14:03,FALSE,TRUE,Cell content (% of control),Mean,3,SEM,7,92,6,5ed67269-5a1f-4574-a3c4-63460fd7fa48,fd103141-ba62-4b4e-abd3-759cc7a8287e,761604f8-e0a4-439f-a3e6-3dd75cfdb8f3,07639453-4cdd-4a54-add6-4a7d382fc5dc,Root,,not reported at all,TRUE,e4 (fig 4a),TRUE,,,FALSE,FALSE,FALSE,,e4 (fig 4a),TRUE,7,,colleagues,not reported,tmz 5 uM,tmz 5 uM,3,cv,Mean,TRUE,Cell content (% of control),SRB assay,SEM,other,cv,a48ac002-59f5-4063-9bb4-80062179a9b4,GB,TRUE,,FALSE,Penicillin + Streptomycin,other source,GB,high glucose & pyruvate,"Biological Industries (Beit Haemek, Israel)",29a36192-c4a7-4674-a1e9-e8fbd57fc3e3,tmz,,10000,,,FALSE,,FALSE,,,,tmz,defined number,,FALSE,number of cells plated is reported,,,
