StudyID,Reporting Study Parameters until 2020,Prevalence Risks of Bias until 2020
01784eb2-1068-469a-99e9-530f57b43e7d,0.388888888888889,0.75
0758b223-36e9-49bb-b7f3-128c15808a1b,0.333333333333333,0.75
07639453-4cdd-4a54-add6-4a7d382fc5dc,0.444444444444444,0.625
086dce0d-1142-4bf2-bd43-9533e23bfb18,0.444444444444444,0.5
0a8024aa-6d58-43b2-96ea-61543cae0549,0.555555555555556,0.5
0bcb0299-c385-4142-93f6-6ee7d5767ee6,0.555555555555556,0.625
0bf1cda2-d9a8-491b-9086-af32efd2810a,0.5,0.5
1e165179-cc1f-4fef-bbdb-97756651583d,0.388888888888889,0.5
1ef05e18-9607-4927-9137-69fd633b2773,0.333333333333333,0.625
1ff23659-a3b2-41fd-80ea-4116183d0f15,0.5,0.5
22d86549-4c32-417f-b3a6-4af9ba1dcb23,0.444444444444444,0.5
29c27c2f-6689-4843-9d70-45705f4d8a55,0.444444444444444,0.5
2dd2d18e-08e0-4d30-9a82-9d28043244c8,0.444444444444444,0.625
31268e7c-5b50-47cb-81cd-65a249bedf43,0.611111111111111,0.625
328a9e48-df61-4a25-bff9-ed2c9cb6edb8,0.5,0.75
35c0a928-2ad6-4912-919e-46eab215fafb,0.333333333333333,0.75
35e10def-f7d7-4c8c-a02b-922b44510337,0.5,0.625
36e240d7-a03b-4879-afc8-a484f9e8ba4e,0.555555555555556,0.625
3791e67c-f846-43b9-be72-6f3711359c63,0.444444444444444,0.625
399b4c31-88e5-4430-8324-090dc87864db,0.555555555555556,0.5
3b27a4cf-4334-48f3-a0ff-0368092c00ec,0.388888888888889,0.75
3c41250d-a6ef-47cd-bdce-1323921aa009,0.388888888888889,0.625
3dbdbe41-d0eb-48c1-b17f-220b052d1937,0.444444444444444,0.5
3eedd5d4-fa1a-4ae8-ad65-8cab83302689,0.5,0.625
41561b20-5972-4095-aa53-32465f12d018,0.5,0.625
427b652e-42e6-436e-bbd4-387c914bca80,0.333333333333333,0.625
4460c6e8-45ac-4cf5-9d06-ebbdaafb7912,0.444444444444444,0.75
48a8b193-0684-4a6b-b3bc-47f74d80bd32,0.5,0.5
4b98515f-057a-4d17-af4a-527e9b58ec36,0.555555555555556,0.5
4f7e8b69-fe49-476a-bf2c-b8e84d4229ba,0.444444444444444,0.75
